# Provenance: branch-only commits touching each file in the migration delta.
# Columns: file <TAB> origin commits (newest first, %h:%an:%s truncated)
src/ck-core/ckrdmadevice.C	aa309d579:Shourya Goel:trying to build git tracing && bug fixed in IPC|9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|99413bd15:Shourya Goel:malloc for load balancing buffers|e2efb9d89:Shourya Goel:remove one extra level of cudaMalloc/cudaFree c|b3329386e:Shourya Goel:debugging ckactiveobject crash|0d203f1b4:Ritvik Rao:Merge branch 'hapi_portable_reconverse_support' i
src/ck-core/ckrdmadevice.h	c2597d03d:Shourya Goel:fixes to run intermittently|82e168d93:Anant Jain:mpi for rdma + ipc for multiple processes per gpu|4c9b86fb9:Anant Jain:working hapi port
src/ck-core/ckreduction.C	9d1177d84:Laxmikant Kale:Fix reduction hang when anytime migration lea|9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/ckreduction.h	9d1177d84:Laxmikant Kale:Fix reduction hang when anytime migration lea
src/ck-core/debug-charm.h	02ec45859:Ritvik Rao:cmake changes
src/ck-core/debug-message.C	043448a6e:Ritvik Rao:changes to queue implementation
src/ck-core/init.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb|c2597d03d:Shourya Goel:fixes to run intermittently|50d524b37:Sh0g0-1758:Merge branch 'reconverse-support' into hapi_porta|dbc3815c7:shourya goel:mpi smp for chareArray and group|5ecffbb01:shourya goel:a couple patches|4c9b86fb9:Anant Jain:working hapi port
src/ck-core/init.h	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/middle.h	75bba6989:Ritvik Rao:add charm config|02ec45859:Ritvik Rao:cmake changes
src/ck-core/msgalloc.C	043448a6e:Ritvik Rao:changes to queue implementation
src/ck-core/waitqd.h	9c9de0a06:Ritvik Rao:libck compiles now
src/ck-cp/controlPoints.h	75bba6989:Ritvik Rao:add charm config|02ec45859:Ritvik Rao:cmake changes
